,comment,title,date,name,stars
0,"Questo è stato un interessante e piena di sera molto affollato trambusto trambusto tutte le età, ci sono un sacco di bar e ristoranti, tutti lungo il canal street,negozi e intrattenimenti. Tutti i prezzi rimangano soddisfatti da mangiare sullo zoccolo a tre portate,tanto da scegliere.è davvero una buona notte fuori sembrava molto sicuro e divertente.Abbiamo anche visitato durante il giorno e aveva il pranzo.è più tranquilla ma comunque vivace e molto pittoresco.io non voglio perdere vedendo questo se vi trovate a Milano",Zona del canal grande, 26 ottobre 2016,gfdmmad,5.0
1,Ottimo e ben organizzato. Nessuna coda all'entrata. Piantine che aiutavano la visita nei percorsi. Controlli per entrare.,Visita di piacere, 26 aprile 2019,Diabolik-Eva-014,5.0
2,"Ci siamo stati molto spesso con gli amici o da soli. Expo Per le strade, I navigli e il vecchio porto (darsena) sono stati attentamente ristrutturato e ora è un vero gioiello. Un'atmosfera totalmente diversa dal centro città: piccoli e affascinanti case, negozi strani e decine di "" in "" bar e ristoranti. Posizione ideale per lo shopping e rilassarsi.",Da vedere a Milano, 18 novembre 2018,O5262KGchrisd,5.0
3,Consiglio di visitare il Duomo di Milano ....emblema della città!ammirare la Madonnina dalle guglie...esperienza da vivere.,Il Duomo sempre affascinante, 7 agosto 2019,Babellina,5.0
4,"La vista del duomo all'uscita della metro ti toglie il fiato, peccato per i continui lavori di ristrutturazione però necessari. L'interno non può essere tralasciato, suggestivo.",Eccezionale, 9 dicembre 2019,Nik804,5.0
5,Vivo a Milano da una vita ma non avevo mai trovato il tempo di visitare questa chiesa nel cuore di Milano e a due passi dall'Università Cattolica.Finalmente sono riuscito nell'intento e la bellezza degli affreschi presenti al suo interno ha superato le mie aspettative!,Visita imperdibile!, 21 aprile 2017,matteodifelice,5.0
6,"Tenuto abbastanza bene quando si passeggia sembra di non stare in una città, l’ho trovato rilassante",Un oasi nel caos, 23 dicembre 2017,Ghert2015,4.0
7,Davvero un modo originale di creare un luogo di memorialascinda traccia del passato senza impedire di adeguarsi alle esigenze del presente.Merita una visita tutta la BernauerstrasseEsposizione gratutia con terrazzo panoramico pervedere il sito dall'alto,La Bernauerstrasse sospesa tra passato e presente, 10 febbraio 2017,bobmonica,5.0
8,Non ci sono parole per descrivere la bellezza di questo parco...passeggiare nei suoi colori e sentirsi una star durante un film americano. Il tipico luogo in cui ti senti a casa anche se lo vedi per la prima volta.Noi abbiamo fatto la follia di affittare le bici e fare tutto il perimetro del parco...siamo tornati mezzi morti ma ne è valsa la pena!,Imperdibile , 6 novembre 2016,Duecuorieunaciccions,5.0
9,"Un polmone verde in una grande città, uno dei simboli di New York. Consigliato a chiunque per una passeggiata o fare un po’ di attività fisica. ",Passeggiata obbligatoria, 23 novembre 2017,CDam7,5.0
