Unnamed: 0,comment,title,date,name,stars,sentiment
19140,La vera Milano!Sopratutto la domenica per il mercato del antiquariato gli oratori che ti fanno mangiare a due soldi e la gente si tutti i tipi!poi già che siete lì andare alla casa museo di Alda Merini una che li ci ha vissuto e non per gli aperitivi ,Peccato per i fighetti, 12 ottobre 2018,Mercati C,3.0,neutral
17106,"Strade fortunati a visitare l'ultima domenica del mese e preso il trafficato mercato dell'antiquariato tutti lungo entrambi i lati del canale e correndo di lato. Abbiamo trovato un'ottima scoperta in Cina di Belleek, Copeland piastra e Christophe posate. atmosfera eccezionale. Una leggera nebbia a la distanza aggiunto per la sensazione di una pittura rinascimentale. Ci sono un sacco di bar e ristorante scelte lungo il canale edifici che sono bohemian e fresco. Mi piacerebbe ritornarci!",Un'atmosfera straordinaria!, 6 novembre 2018,MarOReilly,5.0,positive
16660,"non lo so, forse troppo alte le aspettative, ma non è che mi abbiano entusiasmato più di tanto!grande delusione!",niente di che...., 28 ottobre 2018,SunflowerLe1989,1.0,negative
7996,"Non siamo riusciti neanche entrare in Duomo...Per salire dì sopra dovervi fare una fila dì centinaia di metri. Forse abbiamo sbagliato il periodo di viaggio, non in dicembre.",Molto affollato, 20 marzo 2019,Alb M,3.0,neutral
2501,Zona giovanile piena di turisti. I ristoranti sono di media qualità e strapagati per il livello offerto. In genere non amo trascorrere le mie serate in questa zona di Milano. Unico punto positivo la zona della Darsena (carina e ottima per passeggiare un po'),Sopravvalutato, 3 dicembre 2017,Jacopo C,2.0,negative
1035,"Essendo una viaggiatrice, ho visitato molti musei, e personalmente non mi ha entusiasmato molto.Il palazzo è molto bello, le sale cambiano colore e le arti ben esposte, anche se un po' confusionario il percorso.Non ci tornerei, ma è davvero soggettivo.",Avevo aspettative maggiori, 29 agosto 2017,davide_ld,3.0,neutral
14770,"Circa 2700 blocchi in cemento do varie altezze a ricordo delle vittime dell'olocausto. Emozionante la visita al museo sottostante (gratuito) dove si possono ammirare le foto dell'epoca e leggere delle vicende accadute e stralci di lettere di coloro che hanno vissuto la Shoa (deportazione, sterminio...). Audioguida anche in italiano, al costo di 3 €.",Steli in cemento, 7 agosto 2019,silvia c,3.0,neutral
16731,"Difficilmente un altro monumento riesce a creare le emozioni che suscita il Duomo di Milano. Maestoso, imponente. ",Il Duomo per eccellenza, 28 novembre 2018,Roberto Como,5.0,positive
18956,"4 pallini per i locali da happy hour (carini e di vario tipo), e zero per i navigli in sé, che sono sporchi e maleodoranti. Posso capire che una città priva di mare e di fiumi punti su quello che ha, ma altro che attrazione... altrove canali simili li sanerebbero!","Carini i locali, per il resto.... BAH", 19 febbraio 2015,Gruccione,2.0,negative
6117,Tempo meglio speso esplorare altre zone della città o altre località italiane. Una volta che avete visto la bellezza di Venezia questo posto sembra una discarica.,Stick a Venezia - niente a che vedere qui, 20 agosto 2013,Chris C,2.0,negative
19327,"Esperienza indimenticabile. Parco immerso nel verde. Centinaia di persone che corrono, a piedi o in bici. Relax totale. Da fare assolutamente anche se non si è soliti fare jogging. Rilassante con panorama bellissimo.",corsa indimenticabile, 26 luglio 2017,andrea c,5.0,positive
